time,teacher_id,class_id,base_chapters,base_sections,style,rank,tag,day,chapter_id,cnt,label
2019-09-02 17:50:30,616540,2830703,86991,86996,10100,1,view,2019-09-02,86991,,0
2019-09-02 17:50:30,616540,2830703,86991,86993,10010,2,view,2019-09-02,86991,,0
2019-09-02 17:50:30,616540,2830703,86991,86992,10110,3,click,2019-09-02,86991,1.0,1
2019-09-02 14:32:07,670924,2519440,56213,56214,10010,1,click,2019-09-02,56213,1.0,1
2019-09-02 11:57:14,678467,3686934,56143,56144,10010,1,click,2019-09-02,56143,1.0,1
2019-09-02 12:53:23,779393,3665951,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 21:08:20,830920,3683637,87449,87450,10100,1,click,2019-09-02,87449,1.0,1
2019-09-02 16:55:52,833953,3473033,86956,86963,10100,1,click,2019-09-02,86956,1.0,1
2019-09-02 18:26:43,852589,3688700,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 16:15:18,855432,3323704,89207,89210,10110,1,view,2019-09-02,89207,1.0,0
2019-09-02 16:15:18,855432,3323704,89207,89208,10100,2,view,2019-09-02,89207,,0
2019-09-02 16:15:18,855432,3323704,89207,89210,10010,3,click,2019-09-02,89207,1.0,1
2019-09-02 22:48:39,912824,3690872,87097,87101,10110,1,click,2019-09-02,87097,1.0,1
2019-09-02 20:39:09,956036,1167553,89239,89240,10110,1,click,2019-09-02,89239,1.0,1
2019-09-02 11:24:22,967037,1175279,89220,89224,10100,1,click,2019-09-02,89220,1.0,1
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87186,87187,87188,87189,87190",20100,1,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,87186,10100,2,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87189,87190",20100,3,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,87183,10100,4,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87186,87188,87189,87190",20100,5,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87186,87187,87188,87190",20100,6,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87187,87188,87189,87190",20100,7,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87188,87189,87190",20100,8,view,2019-09-02,87182,,0
